Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,PF,21,MIA,35,2,491,84,145,0.579,0,0,,84,145,0.579,44,81,0.5429999999999999,46,95,141,20,15,19,32,58,212
2,Jaylen Adams,PG,24,MIL,7,0,18,1,8,0.125,0,2,0.0,1,6,0.16699999999999998,0,0,,0,3,3,2,0,0,0,1,20000
3,Steven Adams,C,27,NOP,33,33,918,115,187,0.615,0,1,0.0,115,186,0.618,35,79,0.44299999999999995,133,161,294,69,29,20,50,63,265
4,Bam Adebayo,C,23,MIA,33,33,1119,236,419,0.563,2,6,0.05,234,413,0.5670000000000001,160,189,0.847,72,241,313,179,29,34,98,80,634
5,LaMarcus Aldridge,C,35,SAS ,21,18,544,115,248,0.46399999999999997,27,75,0.36,88,173,0.509,31,37,0.838,17,77,94,36,8,18,20,36,28800
6,Ty-Shon Alexander,SG,22, PHO,3,0,8,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,1,0
7,Nickeil Alexander-Walker,SG ,22,NOP,28,3,495,86,211,0.408,30,98,0.306,56,113,0.496,28,35,0.8,5,61,66,54,28,9,32,44,230
8,Grayson Allen,SG,25,MEM,23,12,551,67,164,0.409,46,113,0.40700000000000003,21,51,0.41200000000000003,34,38,0.895,8,57,65,50,23,3,21,30,214
9,Jarrett Allen,C,22, TOT,35,17,977,172,257,0.669,4,8,0.05,168,249,0.675,123,166,0.741,111,235,346,60,16,59,54,55,471
9,Jarrett Allen,C,22,BRK ,12,5,320,44,65,0.677,0,0,,44,65,0.677,46,61,0.754,38,87,125,20,7,19,22,21,134
9,Jarrett Allen,C,22,CLE,23,12,657,128,192,0.667,4,8,0.5,124,184,0.674,77,105,0.733,73,148,221,40,9,40,32,34,337
10,Al-Farouq Aminu,PF,30,ORL,9,6,163,17,43,0.395,6,15,0.4,11,28,0.39299999999999996,7,9,0.778,9,28,37,15,8,5,10,9,47
11,Kyle Anderson,PF,27,MEM,30,30,829,146,306,0.47700000000000004,46,121,0.38,100,185,0.541,64,84,0.762,28,155,183,105,36,21,46,54,402
12,Giannis Antetokounmpo,PF,26,MIL,35,35,1189,368,661,0.557,39,137,0.285,329,524,0.628,240,363,0.6609999999999999,64,344,408,205,44,49,128,106,1015
13,Kostas Antetokounmpo,PF,23,LAL,3,0,19,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,1,2,0.5,2,6,8,0,1,2,5,3,3
14,Thanasis Antetokounmpo,SF,28,MIL,26,0,227,26,43,0.605,2,9,0.222,24,34,0.706,6,13,0.462,26,29,55,18,8,6,19,33,60
15,Carmelo Anthony,PF,36,POR,34,3,870,166,402,0.413,60,155,0.387,106,247,0.429,80,95,0.8420000000000001,19,94,113,50,31,27,35,72,472
16,Cole Anthony,PG,20,ORL,25,17,667,101,269,0.375,27,83,0.325,74,186,0.39799999999999996,46,55,0.836,20,91,111,94,17,11,51,51,275
17,OG Anunoby,SF,23,TOR,23,23,769,114,238,0.479,49,124,0.395,65,114,0.57,40,53,0.755,33,99,132,38,37,17,38,64,317
18,Ryan Arcidiacono,PG,26,CHI,18,0,198,21,50,0.42,11,32,0.344,10,18,0.556,8,9,0.889,2,31,33,23,5,0,4,16,61
19,D.J. Augustin,PG,33,MIL,34,6,664,64,183,0.35,45,123,0.366,19,60,0.317,35,39,0.897,11,35,46,103,19,1,30,27,208
20,Deni Avdija,SF,20,WAS,30,16,646,68,157,0.433,31,87,0.35600000000000004,37,70,0.529,11,19,0.579,13,127,140,39,20,6,24,75,178
21,Deandre Ayton,C,22,PHO,35,35,1088,218,367,0.594,4,17,0.235,214,350,0.611,66,88,0.75,118,282,400,59,11,38,61,110,506
22,Udoka Azubuike,C,21,UTA,12,0,49,4,7,0.5710000000000001,0,0,,4,7,0.5710000000000001,4,6,0.667,4,9,13,0,1,4,3,8,12
23,Dwayne Bacon,SG,25,ORL,36,23,886,136,329,0.413,34,102,0.33299999999999996,102,227,0.449,57,69,0.826,12,91,103,35,23,3,26,57,363
24,Marvin Bagley III,PF,21,SAC,34,34,888,195,390,0.5,34,92,0.73,161,298,0.54,54,102,0.529,83,175,258,33,18,16,47,82,478
25,LaMelo Ball,PG,19,CHO,35,15,1010,201,448,0.449,70,185,0.37799999999999995,131,263,0.498,81,101,0.802,51,160,211,221,57,13,99,95,553
26,Lonzo Ball,PG,23,NOP,33,33,1048,175,409,0.428,99,256,0.387,76,153,0.49700000000000005,31,40,0.775,20,117,137,168,43,18,66,71,480
27,Mo Bamba,C,22,ORL,17,0,161,35,67,0.522,7,19,0.368,28,48,0.583,4,6,0.667,19,46,65,4,3,13,7,21,81
28,Desmond Bane,SG,22,MEM,28,6,639,100,209,0.478,47,106,0.44299999999999995,53,103,0.515,21,24,0.875,12,68,80,38,20,4,29,54,268
29,Harrison Barnes,PF,28,SAC,33,33,1179,184,374,0.49200000000000005,56,143,0.392,128,231,0.5539999999999999,128,155,0.826,33,167,200,118,26,6,47,43,552
30,RJ Barrett,SG,20,NYK,37,37,1227,233,526,0.44299999999999995,43,123,0.35,190,403,0.47100000000000003,103,141,0.73,45,176,221,109,24,8,70,96,612
31,Will Barton,SF,30,DEN,33,29,986,148,335,0.442,50,129,0.38799999999999996,98,206,0.47600000000000003,37,49,0.755,19,116,135,102,25,14,55,54,383
32,Keita Bates-Diop,SF,25,SAS,13,0,107,11,31,0.355,5,14,0.35700000000000004,6,17,0.353,7,8,0.875,5,14,19,7,6,1,1,5,34
33,Nicolas Batum,SF,32,LAC,35,35,1031,108,229,0.47200000000000003,68,155,0.439,40,74,0.541,30,36,0.833,30,137,167,84,42,13,26,59,314
34,Aron Baynes,C,34,TOR,33,26,649,88,200,0.44,17,70,0.243,71,130,0.546,15,20,0.75,54,125,179,35,10,11,30,80,208
35,Kent Bazemore,SF,31,GSW,35,1,587,84,175,0.48,39,89,0.43799999999999994,45,86,0.523,24,32,0.75,14,91,105,56,30,19,38,77,231
36,Darius Bazley,PF,20,OKC,36,36,1104,158,403,0.392,54,186,0.29,104,217,0.479,57,81,0.7040000000000001,22,248,270,54,18,23,63,31,427
37,Bradley Beal,SGa,27,WAS,32,32,1143,368,764,0.48200000000000004,74,221,0.335,294,543,0.541,243,269,0.903,43,131,174,151,44,14,105,82,1053
38,Malik Beasley,SG,24,MIN,33,32,1093,250,550,0.455,116,286,0.406,134,264,0.508,61,72,0.847,27,126,153,81,27,6,54,54,677
39,Jordan Bell,C,26,WAS,3,1,50,5,15,0.33299999999999996,0,2,0.0,5,13,0.385,0,0,,5,11,16,5,1,3,3,4,10
40,DeAndre' Bembry,SF,26,TOR,27,5,443,49,86,0.57,8,22,0.364,41,64,0.6409999999999999,14,20,0.7,11,43,54,53,15,8,27,44,120
41,Dāvis Bertāns,PF,28,WAS,30,3,783,100,258,0.38799999999999996,88,229,0.384,12,29,0.414,58,68,0.853,14,80,94,28,19,7,18,75,346
42,Patrick Beverley,PG,32,LAC,28,28,678,79,177,0.446,49,116,0.42200000000000004,30,61,0.49200000000000005,31,39,0.795,27,80,107,60,25,22,27,90,238
43,Saddiq Bey,SF,21,DET,34,17,778,108,264,0.409,72,183,0.39299999999999996,36,81,0.444,48,56,0.857,18,115,133,39,21,1,23,54,336
44,Tyler Bey,SF,22,DAL,4,0,13,2,5,0.4,0,0,,2,5,0.4,2,4,0.5,2,1,3,0,0,1,0,2,6
45,Khem Birch,C,28,ORL,35,1,703,76,153,0.49700000000000005,4,13,0.308,72,140,0.514,51,69,0.7390000000000001,90,97,187,37,21,25,19,54,207
46,Goga Bitadze,C,21,IND,16,0,148,24,47,0.511,2,15,0.133,22,32,0.688,10,13,0.769,11,21,32,4,3,15,8,26,60
47,Bismack Biyombo,C,28,CHO,33,19,736,78,137,0.569,0,1,0.0,78,136,0.574,29,60,0.483,71,113,184,48,9,38,30,81,185
48,Nemanja Bjelica,PF,32,SAC,19,1,342,58,120,0.483,15,45,0.33299999999999996,43,75,0.573,30,38,0.789,20,60,80,42,6,2,24,36,161
49,Eric Bledsoe,SG,31,NOP,35,34,1038,158,363,0.435,69,179,0.385,89,184,0.484,55,81,0.679,16,108,124,134,28,10,56,54,440
50,Keljin Blevins,SF,25,POR,9,0,47,2,11,0.182,0,4,0.0,2,7,0.28600000000000003,0,0,,0,2,2,4,2,0,3,4,4
51,Bogdan Bogdanović,SG,28,ATL,11,2,249,35,91,0.385,23,67,0.34299999999999997,12,24,0.5,10,11,0.909,2,36,38,24,4,2,13,21,103
52,Bojan Bogdanović,SF,31,UTA,36,36,1102,188,435,0.43200000000000005,98,242,0.405,90,193,0.466,92,108,0.852,18,122,140,70,18,2,51,59,566
53,Bol Bol,PF,21,DEN,15,2,84,11,22,0.5,5,10,0.5,6,12,0.5,1,2,0.5,0,11,11,4,2,5,8,9,28
54,Marques Bolden,C,22,CLE,6,0,29,1,3,0.33299999999999996,0,0,,1,3,0.33299999999999996,5,8,0.625,3,3,6,0,2,2,2,0,7
55,Jordan Bone,PG,23,ORL,14,0,196,23,54,0.426,10,32,0.313,13,22,0.591,0,0,,4,20,24,18,2,0,3,11,56
56,Isaac Bonga,SF,21,WAS,22,7,271,17,45,0.37799999999999995,10,29,0.345,7,16,0.43799999999999994,3,4,0.75,9,35,44,13,6,5,9,33,47
57,Devin Booker,SG,24,PHO,31,31,1050,284,573,0.496,63,174,0.36200000000000004,221,399,0.5539999999999999,141,168,0.8390000000000001,6,107,113,137,28,8,103,93,772
58,Chris Boucher,C,28,TOR,36,2,851,172,322,0.534,61,137,0.445,111,185,0.6,85,112,0.759,67,167,234,36,20,69,26,98,490
59,Brian Bowen,SF.,22,IND,1,0,5,1,2,0.5,0,0,,1,2,0.5,1,1,1.0,0,1,1,0,0,0,0,0,3
60,Avery Bradley,SG,30,MIA,10,1,211,31,66,0.47,16,38,0.42100000000000004,15,28,0.536,7,9,0.778,2,16,18,14,7,1,9,26,85
61,Tony Bradley,C,23,PHI,12,1,127,22,39,0.564,0,1,0.0,22,38,0.579,3,5,0.6,21,29,50,6,3,7,1,11,47
62,Jarrell Brantley,PF,24,UTA,10,0,28,4,10,0.4,3,7,0.429,1,3,0.33299999999999996,0,0,,2,5,7,0,1,1,1,4,11
